Intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,inter_linear_spacing,weight,peak_number,modular_ratio,class
0.31545,0.517433,-0.002652,-2.543473,0.261718,-0.972381,0.144676,0.871149,-0.746634,-0.842448,F
0.25373,-0.338346,0.352988,-1.154243,0.17234000000000002,-0.557133,0.182426,-0.501656,-0.684271,-0.497503,F
0.09326,0.054213,0.3743260000000001,0.378926,0.261718,0.273364,-2.573354,0.624185,1.061891,-1.718579,H
-0.16596,-0.134216,0.256965,0.387041,0.261718,1.020811,-0.195078,0.040558,-0.247731,1.18619,F
-0.030178,0.391814,0.217845,-0.07332999999999999,0.261718,0.190314,0.748682,-0.138704,0.438262,-0.117706,G
-0.091897,0.34470700000000004,0.182281,0.722749,0.261718,0.231839,0.408929,1.006475,0.937165,0.111209,H
-0.116585,0.423218,0.086258,1.919136,0.261718,2.432656,0.144676,1.397074,1.529613,2.313742,G
0.25373,-0.338346,0.352988,-1.154243,0.17234000000000002,-0.557133,0.257927,0.348428,0.032902,-0.527134,F
0.907954,1.467426,0.37077,-1.242027,0.708609,-1.30458,-1.138838,0.414324,1.280161,-0.474115,I
-0.128929,0.383963,0.23207,1.248675,0.261718,0.14879,-0.232828,1.213617,0.687713,0.406283,A
-0.128929,0.06991499999999999,0.313868,0.5105109999999999,0.08296100000000001,-1.346105,0.7864329999999999,-1.985828,-2.180982,-1.460539,H
0.229043,0.807926,-0.052442,0.082634,0.261718,-0.723232,0.031425,0.5307,0.157628,-0.554656,F
0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,1.228436,0.333428,0.027685,0.31353600000000004,1.019708,A
0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.681707,-0.119577,0.55495,0.531806,-0.418409,A
0.340137,-0.29909,0.7192970000000001,-0.434818,0.17234000000000002,-0.10036,0.220177,-0.224423,-0.091823,-0.090943,D
-0.314087,-0.024299,-1.681275,0.307284,0.261718,-0.349509,-0.42158,1.140693,0.656532,0.053152,E
-0.32643,0.321153,0.285416,-1.944952,-0.9001979999999999,-2.342701,-0.157328,-1.061907,0.157628,-1.993002,D
0.043885,0.572391,0.00446,-0.3331,0.261718,-1.30458,0.182426,0.118919,0.500624,-1.159823,G
0.080916,0.10132,0.10404,0.14049,0.261718,0.647088,0.257927,-0.327849,-0.247731,0.5649890000000001,A
0.426544,0.588093,0.160942,-0.889699,0.261718,0.273364,0.446679,0.336663,0.251173,0.125097,F
0.031541,0.171981,0.253409,-0.862994,0.17234000000000002,-1.2630549999999998,0.182426,-0.466728,0.219991,-1.127335,H
0.698109,-0.369751,0.185837,-0.92264,0.976743,-0.391033,-0.912336,0.706137,1.841428,0.303646,I
0.488263,-0.49537,0.111153,0.334258,0.976743,-1.013906,-0.610333,-0.273214,1.217798,-0.484483,I
0.7721720000000001,0.030659,0.075589,0.371824,0.976743,-0.557133,-1.138838,0.6158560000000001,1.217798,0.281789,I
-0.202992,-0.016447999999999997,0.594823,-1.5818219999999998,-0.363929,-1.013906,-2.724356,-0.29327,0.344717,-2.3831900000000004,E
-0.338774,-0.197025,0.530808,1.1462709999999998,0.708609,-1.055431,-1.403091,0.953645,0.8748020000000001,-0.055284,Y
-3.4864550000000003,0.242641,3.28702,-1.488788,-3.045274,-1.802878,0.295677,0.358582,-2.8669740000000004,-1.659147,A
-0.635027,-0.448263,0.299642,1.407861,0.17234000000000002,-0.05883500000000001,-0.006326,0.730213,1.529613,0.08893200000000001,Y
0.364825,-0.047852,-0.038216,0.327813,0.261718,-0.474083,0.257927,0.103231,-0.466001,-0.452043,A
0.142636,0.486028,0.100483,-0.448543,0.17234000000000002,-0.474083,1.2016870000000002,0.188309,0.375899,-0.899601,A
0.031541,0.203385,0.086258,0.045008,0.17234000000000002,-1.096956,-0.308329,0.505188,0.40708,-0.723476,F
0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.8062819999999999,1.050686,-0.020309,0.375899,-1.11229,A
0.15498,-0.189174,0.246296,-1.223587,0.08296100000000001,1.726734,0.371178,-0.093602,-0.65309,1.464132,A
-0.240024,0.117022,0.235627,0.902912,0.17234000000000002,-0.598658,0.257927,0.153303,-0.154186,-0.5619970000000001,E
-0.363462,0.23479,0.000904,0.759778,0.261718,1.0623360000000002,0.106925,0.21630700000000005,0.40708,1.043963,G
-0.22768,0.085618,0.239183,-0.523467,0.261718,-0.6401819999999999,0.031425,1.86881,0.937165,-0.466714,E
0.068573,0.148427,0.111153,0.179577,0.261718,0.06573999999999999,0.182426,-0.312919,-0.964905,0.076683,A
0.73514,-0.28338800000000003,0.089814,-1.848127,0.976743,-1.055431,-1.856096,-1.856017,-0.65309,0.228759,I
1.7720240000000005,0.014957,0.335206,-0.08619,-2.687761,-0.224934,0.446679,-0.5653,-2.0562560000000003,-0.326283,A
-0.338774,-0.22843,0.584154,2.123586,0.261718,0.024215,-1.667344,2.179087,2.465057,1.242173,X
0.031541,-0.118513,0.3743260000000001,-0.066706,0.261718,0.522513,-0.119577,0.186989,0.40708,0.6724,A
0.13029200000000002,0.533135,-0.045329,-0.942602,0.261718,-0.8062819999999999,0.220177,-0.293348,0.4694430000000001,-0.727984,G
0.25373,-0.338346,0.352988,-1.154243,0.17234000000000002,-0.10036,0.106925,0.417838,0.095265,-0.038563,F
0.105604,-0.149918,0.438342,0.934659,0.261718,0.190314,0.295677,0.716874,-0.247731,0.120588,A
4.524702,-0.134216,0.23207,-2.514351,-0.9001979999999999,-3.713021,-5.744389,-0.723205,-0.777816,-5.063275,F
0.192011,-0.259834,0.402778,-0.06592999999999999,0.261718,-0.224934,0.446679,0.019162,-0.060642,-0.32422199999999995,A
-0.00549,0.478177,0.029355000000000006,-0.247644,0.17234000000000002,1.186911,-0.044076,-1.162207,-0.154186,1.247767,A
0.290762,0.109171,-0.112901,0.221262,0.261718,0.480988,-0.044076,-0.124939,0.219991,0.590292,A
0.080916,0.486028,0.14315999999999998,0.006427,0.261718,-1.553729,0.144676,-2.602617,-2.960519,-1.357057,G
0.019197,-0.016447999999999997,-3.210528,-0.310423,0.261718,-0.01731,0.52218,0.693227,0.064084,-0.182526,A
0.068573,-0.189174,-2.090261,-0.6335390000000001,0.17234000000000002,0.730137,0.182426,0.141266,0.31353600000000004,0.677222,E
0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.432558,0.220177,-0.454593,-0.310094,-0.359941,A
0.080916,-0.291239,0.356544,0.226662,0.261718,-0.05883500000000001,-0.006326,0.01926,0.001721,0.07122300000000001,F
-0.030178,-0.189174,0.242739,-0.408799,0.261718,0.231839,-0.232828,-0.664668,0.157628,0.479421,F
0.759828,-1.304042,-0.023991,-0.973663,-0.006417,-0.432558,-1.554093,-0.396949,0.781258,0.648892,I
0.4142,-0.173471,0.392108,-0.13088699999999998,0.261718,0.522513,-0.044076,-0.496123,-0.43482,0.639694,F
0.47592,-0.4325600000000001,0.114709,-0.8709600000000001,0.976743,-1.470679,-1.1010879999999998,0.229858,1.903791,-0.676955,I
-0.030178,-0.063555,0.274747,-0.394925,0.261718,-0.05883500000000001,0.52218,-0.546273,-0.341275,-0.216377,F
-0.314087,-0.040001,0.303198,1.37665,0.17234000000000002,0.397939,0.55993,1.453243,1.623157,0.159948,X
0.500607,-0.220579,-0.03466,0.497323,0.17234000000000002,-0.515608,-0.081827,0.488374,0.219991,-0.307767,A
0.019197,-0.424709,0.33165,0.137655,-0.006417,-0.6401819999999999,0.031425,-0.115095,-0.559546,-0.484194,A
-0.5979949999999999,-0.071406,0.352988,0.220844,0.261718,1.394535,0.257927,-1.252702,0.219991,1.253783,E
0.13029200000000002,-0.071406,0.214288,0.915742,0.261718,0.564038,0.484429,0.515051,-0.185368,0.34641700000000003,A
-0.091897,0.226939,0.26763400000000004,0.024091,0.261718,-0.889332,0.144676,0.391763,0.687713,-0.742873,H
0.389513,0.376111,0.018686,-0.690978,0.08296100000000001,0.231839,0.295677,-0.536021,-0.185368,0.163673,A
-0.301743,-0.055704,0.210732,-0.147477,0.261718,0.231839,0.408929,-0.646282,0.687713,0.112198,E
0.043885,0.69801,0.022242,0.912997,0.261718,0.314889,0.446679,1.010066,0.001721,0.152751,F
-0.153617,-0.087108,0.299642,0.689629,0.261718,0.107265,0.182426,0.16072,0.375899,0.112077,F
-0.38815,0.321153,0.107596,0.886232,0.351096,2.349606,0.55993,-0.884489,-0.154186,1.888944,F
-0.017834,0.23479,-0.180472,0.6210319999999999,0.261718,0.647088,0.597681,0.410771,0.001721,0.3628,F
0.377169,0.164129,0.139604,-0.241825,0.17234000000000002,-0.224934,-0.232828,-0.44108,-0.123005,0.05103,A
0.364825,-0.149918,0.107596,-1.108143,0.17234000000000002,-1.055431,-0.34608,-1.331723,-1.775623,-0.64789,A
-2.4495720000000003,4.835583,0.352988,0.048976,-2.419627,-2.6749,-2.648855,2.4344200000000003,-2.118619,-3.506186,A
0.31545,-0.330495,0.555703,-0.374098,0.708609,-0.847807,1.39044,-0.358933,1.155435,-0.661054,Y
0.8462350000000001,-0.09496,0.182281,-1.981085,0.6192300000000001,-0.557133,0.295677,-2.159538,-2.55516,-0.542926,I
0.266074,0.580242,0.114709,-0.165469,0.261718,-0.01731,0.52218,0.197803,0.001721,-0.184021,A
0.13029200000000002,0.533135,-0.045329,-0.942602,0.261718,-0.391033,0.55993,-0.45269,0.251173,-0.5109560000000001,G
0.17966700000000002,0.258344,0.189393,-0.133304,0.17234000000000002,-0.764757,0.333428,0.6314069999999999,0.531806,-0.750624,A
0.068573,0.007106,0.288973,0.592954,0.261718,0.190314,0.748682,0.543553,0.937165,-0.110038,H
-0.252367,-0.401156,0.466793,0.631147,0.261718,0.480988,-0.119577,-0.031842,0.62535,0.6322439999999999,E
-0.017834,-0.275537,0.388552,0.949727,0.261718,1.103861,0.446679,0.399704,-0.341275,0.8483200000000001,F
0.167323,0.117022,0.047137,-0.174809,0.261718,0.273364,-0.157328,0.5287,0.375899,0.46739,A
-0.054866,0.203385,0.05425,-0.028782,0.261718,-0.391033,0.371178,1.164322,0.594169,-0.42886,G
0.599358,0.7529680000000001,0.008017,-1.737905,-0.095795,-0.432558,0.55993,-1.175837,-0.247731,-0.562817,F
-0.091897,-0.29909,0.562816,1.131322,0.440474,0.079581,-0.459331,0.4242260000000001,0.375899,0.49443,Y
0.648733,0.242641,-0.045329,-0.444157,0.261718,0.647088,0.408929,-1.113882,-0.43482,0.479578,A
-3.498799,-0.03215,-2.481465,-0.333876,-4.9222150000000005,1.35301,-2.950858,-2.226501,-1.619716,-0.112016,A
-0.314087,-0.024299,-1.681275,0.307284,0.261718,-0.557133,0.52218,0.668569,0.282354,-0.649216,E
-0.00549,0.054213,0.32098000000000004,0.804804,0.17234000000000002,1.851308,-0.044076,-0.693519,-0.091823,1.834092,X
1.142487,0.062064,0.125378,1.0598299999999998,0.261718,0.024215,0.220177,1.123569,-0.185368,0.032863,A
-0.042522,-0.173471,0.644613,0.089437,-0.989576,-0.930856,-1.856096,-0.135579,1.24898,0.421556,Y
0.019197,0.077766,0.349432,-0.356523,0.261718,0.107265,0.55993,0.182077,0.562987,-0.079937,H
0.389513,0.376111,0.018686,-0.690978,0.08296100000000001,-0.432558,0.52218,-0.06011100000000001,0.31353600000000004,-0.536694,A
0.426544,-0.055704,-0.08445,0.139087,0.976743,0.107265,-1.32759,-0.681016,0.687713,1.089122,I
0.624046,-0.071406,0.221401,-0.586246,0.887365,-0.266459,-1.554093,-0.352196,0.999528,0.861593,I
1.019049,0.211237,-0.155578,-0.311855,0.261718,-0.391033,0.484429,0.030676,-0.154186,-0.481072,A
0.09326,-0.055704,0.068476,0.305076,0.261718,-0.515608,0.371178,-0.5262359999999999,-0.715453,-0.529039,A
-3.498799,0.148427,-3.210528,-0.293087,-4.9222150000000005,0.564038,-0.912336,-0.10698,-0.65309,1.257965,I
0.624046,-2.426761,0.178724,0.7113520000000001,1.066121,-1.22153,-1.365341,-0.809157,0.001721,-0.244224,I
-0.141273,1.553789,0.5414770000000001,-0.649324,-1.257711,0.356414,-0.006326,0.8444729999999999,-0.247731,0.441725,D
-0.178304,-0.338346,0.45968,1.40246,0.797987,-0.183409,-1.32759,0.4738520000000001,0.843621,0.8069109999999999,Y
-0.153617,-0.03215,0.271191,0.057241,0.261718,-0.01731,0.220177,-0.040443,0.001721,-0.010668,A
-0.104241,-0.07925700000000001,0.552147,1.388496,0.6192300000000001,-1.180006,-0.459331,0.510644,1.623157,-0.705381,Y
-0.079554,0.313302,0.139604,0.295528,0.261718,0.813187,-0.044076,0.456572,0.18881,0.900266,A
-0.301743,-0.314793,0.399221,0.77052,0.708609,1.394535,-1.742845,-0.513461,0.562987,2.801023,Y
0.25373,0.336855,0.086258,-0.979571,0.261718,0.06573999999999999,0.144676,-0.616265,0.7500760000000001,0.108123,G
0.031541,0.36826,-0.027547,0.237135,0.17234000000000002,0.190314,0.257927,-0.071974,0.064084,0.150268,A
0.13029200000000002,-0.157769,0.577041,-0.670986,0.17234000000000002,0.107265,0.295677,-0.644282,0.282354,0.065123,C
0.25373,0.336855,0.086258,-0.979571,0.261718,0.231839,0.710932,-0.649602,0.40708,-0.057128,G
-3.498799,-0.291239,0.37077,-0.281212,-4.9222150000000005,-0.432558,0.031425,0.555474,0.064084,-0.289516,F
-0.178304,-0.338346,0.45968,1.40246,0.797987,0.439463,-1.025587,0.593936,1.093072,1.26726,Y
-0.338774,-0.314793,0.449011,1.243006,0.797987,0.522513,-0.270579,0.951743,1.779065,0.797834,X
0.710453,-0.28338800000000003,0.128935,0.601905,0.976743,-0.6401819999999999,0.899684,-0.956268,1.373706,-0.904496,I
-0.22768,0.085618,0.239183,-0.523467,0.261718,-0.349509,0.295677,1.966877,0.968347,-0.345535,E
-3.498799,0.203385,0.95402,-2.2225650000000003,-4.9222150000000005,-1.802878,-3.2906120000000003,-1.65231,-2.492797,-2.8219,A
0.303106,-0.134216,-0.002652,-0.624558,0.261718,0.14879,0.333428,-0.312996,0.126447,0.07995,A
-0.215336,-0.102811,0.360101,0.941284,0.17234000000000002,0.273364,0.333428,0.308219,0.219991,0.183528,E
0.105604,0.7215630000000001,0.086258,0.505409,0.261718,-0.30798400000000004,-0.006326,0.698391,0.064084,-0.156945,F
0.105604,0.10132,0.246296,0.08707999999999999,0.261718,0.647088,-0.195078,-0.591006,-0.684271,0.83606,A
0.192011,0.148427,0.19295,-1.29308,0.261718,-0.598658,0.257927,-0.522217,0.843621,-0.555982,H
-0.00549,-0.071406,0.352988,-0.20667600000000005,0.261718,-1.429155,-0.006326,-1.185719,-0.341275,-1.164633,H
-0.202992,-0.016447999999999997,0.594823,-1.5818219999999998,-0.363929,-1.2630549999999998,0.484429,0.915358,0.843621,-1.258591,E
0.364825,0.195534,0.17516800000000002,-0.027618,0.261718,-0.598658,-0.006326,1.028608,0.656532,-0.431127,A
-0.104241,-0.456114,0.484575,0.143802,0.261718,-0.723232,-0.081827,-0.7100029999999999,-0.996086,-0.492657,F
0.142636,0.470326,-2.958023,-0.379737,0.261718,1.103861,0.295677,-0.520625,-0.091823,0.953188,A
-0.042522,0.2976,0.07914500000000001,1.500568,0.351096,0.937762,0.408929,0.63962,-0.029461,0.728685,F
-0.116585,0.06991499999999999,0.068476,-0.783147,0.261718,0.854712,0.144676,-0.242441,-0.091823,0.818966,A
1.019049,0.030659,0.335206,-2.318136,-4.654081,-1.055431,0.220177,-1.595442,-0.715453,-0.945194,A
0.068573,-0.087108,0.470349,-0.099617,0.17234000000000002,4.8826220000000005,0.975185,-2.539361,-3.864781,3.752847,A
0.142636,0.203385,-0.006209,-0.8348270000000001,0.261718,2.391131,0.861934,-0.638263,-0.902542,1.736361,A
0.229043,0.242641,0.089814,0.12023,0.261718,-0.598658,0.371178,0.367183,0.001721,-0.616378,A
-0.400494,-0.16562000000000002,0.392108,0.485626,0.261718,-0.723232,0.106925,1.026026,1.093072,-0.588603,E
-2.573011,0.06991499999999999,0.246296,-3.018853,0.08296100000000001,-2.301176,-0.119577,1.793109,-2.9917,-1.933437,H
0.031541,0.195534,0.246296,0.627208,0.261718,-0.474083,0.295677,0.8201649999999999,0.344717,-0.43748,H
0.117948,0.06991499999999999,0.338762,-1.2960040000000002,0.261718,-1.636779,-0.006326,-0.5283329999999999,0.18881,-1.381638,H
0.698109,-0.306942,-0.03466,0.06264199999999999,0.976743,-0.972381,-1.28984,0.229256,1.810246,-0.036551,I
1.142487,0.062064,0.125378,1.0598299999999998,0.261718,0.273364,0.6354310000000001,0.8593059999999999,-0.185368,0.02123,A
0.13029200000000002,0.077766,-0.045329,0.285383,-0.095795,1.311485,0.6354310000000001,0.256244,0.095265,0.931525,A
0.031541,0.203385,0.086258,0.045008,0.17234000000000002,-0.723232,0.144676,0.43539,0.18881,-0.612701,F
0.142636,-1.916434,-0.023991,-0.504341,0.261718,0.231839,0.6354310000000001,-0.086865,-0.247731,-0.003218,A
0.142636,0.06991499999999999,0.399221,0.5680390000000001,-1.168333,0.14879,-0.044076,0.399762,0.282354,0.27881100000000003,A
0.167323,0.171981,0.047137,0.268047,0.17234000000000002,-0.14188399999999998,0.220177,0.837852,0.18881,-0.122395,F
0.364825,-0.149918,0.171611,0.04277,0.261718,-0.432558,0.52218,0.73429,-0.029461,-0.5419010000000001,F
-0.425181,-0.071406,0.424116,1.863279,0.17234000000000002,1.311485,-0.044076,0.408946,1.03071,1.358626,X
0.080916,-0.118513,0.445454,-0.188027,0.261718,0.273364,0.371178,1.353855,0.282354,0.160864,A
0.080916,0.164129,0.19295,0.8190069999999999,0.261718,0.06573999999999999,0.371178,0.947277,-0.278912,-0.024555,A
0.056229,-0.016447999999999997,0.345875,-0.053786,0.17234000000000002,-0.515608,-0.006326,0.7493569999999999,0.4694430000000001,-0.342895,A
0.031541,0.446772,0.072032,0.600056,0.261718,0.231839,0.371178,0.447349,0.282354,0.124964,F
-0.252367,-0.063555,0.594823,0.8912450000000001,0.529852,0.564038,-1.32759,0.8969719999999999,2.433876,1.56724,X
-0.042522,-2.395356,-3.210528,-1.128463,-0.721442,-0.6401819999999999,0.031425,0.151808,0.4694430000000001,-0.470053,A
-0.017834,-2.426761,0.278304,0.506662,0.17234000000000002,1.186911,0.031425,-0.054287,-0.310094,1.198498,F
-0.00549,-0.071406,0.352988,-0.20667600000000005,0.261718,-1.180006,-0.006326,1.3994030000000002,1.716702,-0.965121,H
0.340137,-0.29909,0.7192970000000001,-0.434818,0.17234000000000002,-1.055431,-0.081827,-1.382785,-0.278912,-0.825342,D
-0.030178,-0.189174,0.242739,-0.408799,0.261718,-0.391033,0.069175,0.390074,0.219991,-0.279389,F
-3.4370800000000004,-0.024299,5.196809,-1.63562,-3.3134080000000004,-1.2630549999999998,-6.008642,3.033657,-3.8336,-3.916338,A
0.043885,0.274046,0.182281,0.095763,0.261718,1.643684,0.182426,-1.400842,-1.089631,1.500045,F
0.241386,-0.126364,0.417003,0.096091,0.17234000000000002,-0.515608,-2.724356,1.342012,0.812439,-2.088249,A
-0.437525,0.423218,0.388552,0.6208520000000001,0.17234000000000002,-1.138481,0.333428,1.606547,0.500624,-1.075992,E
0.117948,0.06991499999999999,0.338762,-1.2960040000000002,0.261718,-1.38763,0.408929,-0.135889,0.438262,-1.318264,H
0.068573,0.289748,0.107596,1.267115,0.261718,0.605563,0.7864329999999999,0.782517,-0.247731,0.218006,A
0.63639,-0.063555,0.132491,-0.6317189999999999,0.976743,-0.6401819999999999,-1.25209,-0.625313,0.40708,0.278125,I
0.352481,0.321153,0.128935,-1.6467200000000002,-0.9001979999999999,-0.557133,-0.006326,-0.223491,-0.060642,-0.380484,F
-0.042522,0.407516,-3.210528,-0.636404,0.261718,-0.14188399999999998,0.408929,0.52705,0.032902,-0.227371,A
0.63639,-0.063555,0.132491,-0.6317189999999999,0.976743,-0.764757,-1.32759,-0.102572,0.999528,0.19486,I
0.4142,-0.471816,0.239183,1.018385,0.887365,1.186911,-0.5725819999999999,-0.7510859999999999,-0.247731,1.603008,I
-0.030178,0.014957,0.26407800000000003,0.374062,0.261718,-0.474083,-0.006326,1.424352,0.531806,-0.302149,A
0.216699,-0.424709,0.306755,-0.043283,0.261718,-0.681707,0.257927,-0.298163,-1.027268,-0.635016,A
0.13029200000000002,0.007106,0.239183,0.7661939999999999,0.261718,0.14879,0.182426,0.10958,-0.715453,0.152342,A
0.117948,-0.220579,-3.210528,-1.623238,0.261718,0.107265,0.446679,-0.269118,-0.278912,-0.027871,A
-0.178304,-0.620989,0.32098000000000004,0.699028,0.261718,-0.01731,0.333428,0.539087,0.62535,-0.085253,E
-0.178304,-0.338346,0.45968,1.40246,0.797987,0.024215,-0.7613340000000001,0.349088,1.623157,0.6114970000000001,Y
-0.141273,1.553789,0.5414770000000001,-0.649324,-1.257711,2.515706,-0.006326,-0.903438,-1.869167,2.436475,D
0.17966700000000002,0.321153,0.242739,0.045844,0.17234000000000002,-0.14188399999999998,0.031425,0.219665,-0.310094,-0.024315,A
0.266074,-0.134216,0.214288,-0.229323,0.261718,-0.889332,-0.34608,0.171185,-0.091823,-0.509895,F
0.204355,0.038511,0.036468,0.655644,0.17234000000000002,0.06573999999999999,0.446679,0.404422,-0.216549,-0.07031699999999999,A
-0.32643,0.093469,-3.210528,0.6684140000000001,-0.095795,1.9758830000000005,0.220177,0.636339,1.966154,1.800169,X
0.117948,-0.220579,0.367214,0.914608,0.261718,-0.05883500000000001,0.069175,0.095154,-0.278912,0.036745,A
-0.054866,-0.024299,0.07914500000000001,0.136282,0.261718,0.522513,0.7864329999999999,-0.395648,-0.341275,0.151558,F
-3.498799,-0.11066199999999997,0.114709,0.500396,-4.9222150000000005,-1.013906,-1.629594,0.805098,1.779065,0.123385,I
0.907954,1.467426,0.37077,-1.242027,0.708609,-1.470679,-0.648083,0.388366,1.093072,-0.90147,I
-0.215336,0.250492,0.4739060000000001,1.1870889999999998,0.17234000000000002,1.186911,2.409701,-0.555651,1.124254,-0.120732,X
-3.498799,-0.063555,7.458680999999999,0.129002,-4.9222150000000005,-0.10036,0.031425,-0.378038,0.18881,0.057226,W
0.241386,-0.322644,0.28186,0.274612,0.261718,-0.681707,0.333428,0.947976,0.251173,-0.671796,F
-2.276758,0.454623,0.050694,-2.161546,-4.8328370000000005,-3.131673,0.031425,1.162768,-1.463808,-2.748159,A
0.019197,0.077766,0.349432,-0.356523,0.261718,-0.224934,-0.044076,-0.105368,0.344717,-0.06756799999999999,H
-0.462213,0.352558,0.150273,0.5604899999999999,0.261718,0.647088,0.220177,0.120239,0.687713,0.581576,E
-0.338774,-0.291239,0.520139,1.054429,0.261718,-0.391033,1.2016870000000002,-0.051316,0.7500760000000001,-0.8303209999999999,E
